world_rank,university_name,country,teaching,international,research,citations,income,total_score,international_students,year
38,New York University,United States of America,68.3,41.2,62.4,89.5,30.2,69.9,19.0,2015
39,McGill University,Canada,63.3,79.0,69.9,76.0,38.6,69.6,23.0,2015
40,King’s College London,United Kingdom,55.6,87.0,62.3,88.3,39.0,69.4,37.0,2015
41,"University of California, San Diego",United States of America,52.0,37.0,66.6,96.4,54.2,68.6,11.0,2015
42,Washington University in St Louis,United States of America,57.6,46.5,55.2,97.1,,67.8,17.0,2015
43,University of Hong Kong,Hong Kong,62.1,81.9,72.6,65.1,56.0,67.5,38.0,2015
44,Karolinska Institute,Sweden,57.1,60.6,68.0,76.8,65.5,66.8,22.0,2015
45,Australian National University,Australia,53.7,91.3,70.9,71.1,38.9,66.5,35.0,2015
46,University of Minnesota,United States of America,59.9,33.8,64.7,82.9,,65.9,13.0,2015
46,University of North Carolina at Chapel Hill,United States of America,57.9,35.3,58.6,91.0,40.5,65.9,8.0,2015
48,Peking University,China,70.0,53.7,61.9,63.7,100.0,65.2,14.0,2015
49,Tsinghua University,China,64.1,44.6,68.3,65.0,99.7,65.1,10.0,2015
50,Seoul National University,South Korea,75.5,30.3,77.1,48.7,86.3,64.8,10.0,2015
51,Hong Kong University of Science and Technology,Hong Kong,51.8,77.8,66.8,72.9,57.6,64.7,36.0,2015
52,Korea Advanced Institute of Science and Technology (KAIST),South Korea,63.5,34.9,63.2,71.4,100.0,64.5,9.0,2015
52,University of Manchester,United Kingdom,58.1,82.0,58.7,74.3,39.4,64.5,34.0,2015
54,Brown University,United States of America,55.5,37.0,54.2,92.0,32.7,64.1,19.0,2015
55,KU Leuven,Belgium,53.0,62.3,63.6,71.8,99.9,63.7,18.0,2015
55,"University of California, Davis",United States of America,54.4,52.9,59.7,80.4,55.4,63.7,13.0,2015
57,Boston University,United States of America,56.4,47.8,46.7,94.4,30.3,63.6,17.0,2015
58,Pennsylvania State University,United States of America,54.6,37.4,64.8,76.0,60.4,62.9,12.0,2015
59,Kyoto University,Japan,70.4,29.0,68.4,57.0,73.3,62.8,7.0,2015
60,University of Sydney,Australia,52.8,83.6,60.8,69.0,67.3,62.7,28.0,2015
61,Nanyang Technological University,Singapore,43.9,92.5,55.9,75.9,100.0,62.2,33.0,2015
61,École Polytechnique,France,50.5,94.5,47.1,79.9,76.8,62.2,30.0,2015
63,Scuola Normale Superiore di Pisa,Italy,48.2,50.1,46.0,96.4,40.1,61.9,5.0,2015
64,Leiden University,Netherlands,45.0,59.5,58.2,82.3,47.3,61.3,10.0,2015
65,The University of Queensland,Australia,45.8,80.4,58.4,74.2,66.2,61.2,27.0,2015
66,Pohang University of Science and Technology,South Korea,52.7,36.0,49.3,84.4,100.0,61.1,4.0,2015
67,University of Göttingen,Germany,46.9,53.9,48.0,92.3,32.8,61.0,12.0,2015
68,Ohio State University,United States of America,54.0,51.5,51.1,80.4,46.8,60.7,12.0,2015
69,Rice University,United States of America,41.7,70.8,37.1,99.9,34.6,59.8,26.0,2015
70,Heidelberg University,Germany,52.6,63.1,45.4,81.4,41.6,59.6,17.0,2015
71,Delft University of Technology,Netherlands,55.5,77.9,71.4,42.6,100.0,59.2,25.0,2015
72,Erasmus University Rotterdam,Netherlands,39.8,66.2,53.7,82.3,54.4,59.1,18.0,2015
73,Wageningen University and Research Center,Netherlands,44.3,78.7,46.8,77.5,100.0,59.0,21.0,2015
74,University of Bristol,United Kingdom,43.7,76.6,44.7,85.1,42.1,58.9,25.0,2015
75,University of Basel,Switzerland,41.2,91.2,41.1,81.4,97.7,58.4,24.0,2015
75,University of Southern California,United States of America,55.2,42.7,44.6,81.3,34.4,58.4,20.0,2015
77,University of Amsterdam,Netherlands,42.0,60.5,55.4,76.6,56.7,58.2,11.0,2015
78,École Normale Supérieure,France,48.7,81.9,36.2,84.8,39.4,58.1,20.0,2015
79,Utrecht University,Netherlands,38.2,52.9,54.8,80.0,84.1,58.0,7.0,2015
80,Humboldt University of Berlin,Germany,51.9,55.7,52.6,71.9,31.9,57.9,16.0,2015
81,Free University of Berlin,Germany,49.4,56.6,58.0,67.6,33.5,57.6,20.0,2015
82,Michigan State University,United States of America,51.1,55.0,49.4,74.0,31.7,57.3,15.0,2015
83,Durham University,United Kingdom,37.2,80.4,40.7,88.9,34.8,56.9,24.0,2015
83,Monash University,Australia,43.7,79.6,54.4,65.7,73.4,56.9,36.0,2015
